TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:35 AM,35.6,32.0,87,29.93,5.0,NW,17.3,24.2,0.04,Snow,Light Snow,310,2014-04-16 04:35:00
12:51 AM,34.0,30.9,89,29.93,6.0,NW,18.4,26.5,0.05,Snow,Light Snow,320,2014-04-16 04:51:00
1:24 AM,35.6,30.2,81,29.93,8.0,NW,21.9,31.1,0.03,Rain-Snow,Light Snow,310,2014-04-16 05:24:00
1:43 AM,35.6,28.4,75,29.96,8.0,NW,19.6,24.2,0.05,Rain,Light Rain,310,2014-04-16 05:43:00
1:51 AM,35.1,30.0,82,29.96,9.0,NW,18.4,-,0.06,Rain-Snow,Light Rain,320,2014-04-16 05:51:00
2:51 AM,36.0,26.1,67,29.94,10.0,NW,25.3,33.4,0.03,,Overcast,320,2014-04-16 06:51:00
3:51 AM,36.0,25.0,64,30.05,10.0,NW,21.9,28.8,N/A,,Overcast,310,2014-04-16 07:51:00
4:51 AM,34.0,19.9,56,30.06,10.0,NW,25.3,31.1,N/A,,Overcast,320,2014-04-16 08:51:00
5:51 AM,33.1,19.0,56,30.13,10.0,NW,20.7,26.5,N/A,,Scattered Clouds,320,2014-04-16 09:51:00
6:51 AM,32.0,17.1,54,30.22,10.0,NNW,19.6,-,N/A,,Scattered Clouds,330,2014-04-16 10:51:00
7:51 AM,33.1,16.0,50,30.24,10.0,NNW,21.9,35.7,N/A,,Scattered Clouds,340,2014-04-16 11:51:00
8:51 AM,35.1,17.1,48,30.28,10.0,NNW,23.0,28.8,N/A,,Scattered Clouds,340,2014-04-16 12:51:00
9:51 AM,37.0,16.0,42,30.31,10.0,NNW,17.3,-,N/A,,Partly Cloudy,330,2014-04-16 13:51:00
10:51 AM,39.0,16.0,39,30.35,10.0,NNW,16.1,24.2,N/A,,Partly Cloudy,330,2014-04-16 14:51:00
11:51 AM,42.1,17.1,37,30.38,10.0,NW,19.6,27.6,N/A,,Partly Cloudy,320,2014-04-16 15:51:00
12:51 PM,44.1,16.0,32,30.39,10.0,NW,19.6,27.6,N/A,,Scattered Clouds,320,2014-04-16 16:51:00
1:51 PM,46.0,16.0,30,30.40,10.0,NNW,15.0,25.3,N/A,,Partly Cloudy,340,2014-04-16 17:51:00
2:51 PM,48.0,16.0,28,30.41,10.0,NNW,18.4,27.6,N/A,,Partly Cloudy,340,2014-04-16 18:51:00
3:51 PM,48.0,17.1,29,30.41,10.0,NW,13.8,23.0,N/A,,Clear,320,2014-04-16 19:51:00
4:51 PM,48.9,16.0,27,30.42,10.0,North,13.8,19.6,N/A,,Clear,10,2014-04-16 20:51:00
5:51 PM,48.0,12.9,24,30.43,10.0,NNW,15.0,-,N/A,,Partly Cloudy,340,2014-04-16 21:51:00
6:51 PM,46.9,12.0,24,30.44,10.0,North,13.8,-,N/A,,Partly Cloudy,10,2014-04-16 22:51:00
7:51 PM,45.0,15.1,30,30.48,10.0,NE,11.5,-,N/A,,Partly Cloudy,40,2014-04-16 23:51:00
8:51 PM,43.0,16.0,34,30.51,10.0,NE,9.2,-,N/A,,Partly Cloudy,50,2014-04-17 00:51:00
9:51 PM,42.1,17.1,37,30.55,10.0,ENE,8.1,-,N/A,,Partly Cloudy,60,2014-04-17 01:51:00
10:51 PM,39.9,16.0,38,30.57,10.0,NE,6.9,-,N/A,,Partly Cloudy,40,2014-04-17 02:51:00
11:51 PM,39.9,16.0,38,30.58,10.0,NE,9.2,-,N/A,,Partly Cloudy,40,2014-04-17 03:51:00
